step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,center_stopped,center_accumulated_waiting_time,center_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,14.758063150377984,0,0.0,0.9715341716082332,0,0.0
10.0,0,0.0,0.0,13.208694299981724,0,0.0,0.9760267855485266,0,0.0
15.0,0,0.0,0.0,13.300049782845463,0,0.0,0.9603450381679985,0,0.0
20.0,0,0.0,0.0,12.706094916494827,0,0.0,0.8891205322790214,0,0.0
25.0,0,0.0,0.0,9.099075495177814,0,1.0,0.6867951828965762,0,1.0
30.0,4,13.0,0.65,7.796879257599757,4,13.0,0.5099433437299147,4,13.0
35.0,9,48.0,2.1818181818181817,6.920179098148651,9,48.0,0.32257592629805304,9,48.0
40.0,10,97.0,3.730769230769231,7.937240286231667,10,97.0,0.423077270948855,10,97.0
45.0,12,150.0,5.172413793103448,7.155544444389777,12,150.0,0.3478213041921257,12,150.0
50.0,14,218.0,7.266666666666667,6.618765446200871,14,218.0,0.35609623433882553,14,218.0
55.0,6,73.0,2.3548387096774195,7.08384204144531,6,154.0,0.49268477160922763,6,154.0
60.0,0,0.0,0.0,8.070344062781631,0,100.0,0.4964870640323533,0,100.0
65.0,6,16.0,0.45714285714285713,7.766726249708074,6,116.0,0.33816882603209336,6,116.0
70.0,11,61.0,1.6486486486486487,8.076221588355114,11,161.0,0.33413479066239316,11,161.0
75.0,6,44.0,1.1,8.569181663576984,6,135.0,0.4312079566916842,6,135.0
80.0,1,3.0,0.07692307692307693,9.765997280633442,1,56.0,0.562158760609318,1,56.0
85.0,2,3.0,0.08333333333333333,10.168768093759759,2,56.0,0.61573140087951,2,56.0
90.0,5,22.0,0.5789473684210527,9.325833647607402,5,76.0,0.46247335247195676,5,76.0
95.0,6,24.0,0.631578947368421,8.679184475452775,6,68.0,0.427447630866284,6,68.0
100.0,6,17.0,0.4358974358974359,8.191699069499965,6,90.0,0.352333219757706,6,90.0
105.0,5,11.0,0.34375,7.362499504992669,5,88.0,0.36282473743242305,5,88.0
110.0,11,55.0,1.6176470588235294,6.770942785475999,10,128.0,0.24865546339302563,10,128.0
115.0,16,123.0,3.5142857142857142,6.186026076867195,16,200.0,0.24298789349469943,16,200.0
120.0,9,80.0,2.2222222222222223,6.322125411141712,9,181.0,0.31925989409026606,9,181.0
125.0,4,12.0,0.3157894736842105,8.331744432960273,3,145.0,0.4853279305706396,3,145.0
130.0,4,6.0,0.15789473684210525,8.7353847692262,4,153.0,0.4899325459401583,4,153.0
135.0,11,47.0,1.236842105263158,7.882243665861936,11,194.0,0.335679421053849,11,194.0
140.0,6,37.0,0.925,8.071676424909196,6,156.0,0.35672014231727245,6,156.0
145.0,4,12.0,0.2857142857142857,8.243753754099131,3,175.0,0.3498506418488163,3,175.0
150.0,3,9.0,0.23076923076923078,8.476040007026207,3,177.0,0.44643695733767386,3,177.0
155.0,9,47.0,1.2702702702702702,8.268035749042014,9,215.0,0.4310523857986847,9,215.0
160.0,9,60.0,1.5789473684210527,8.57255337997921,9,186.0,0.47713586951786197,9,186.0
165.0,5,16.0,0.42105263157894735,8.988307388240719,4,120.0,0.518316641955146,4,120.0
170.0,9,44.0,1.1282051282051282,7.997216275104977,8,117.0,0.3389377946706958,8,117.0
175.0,6,66.0,1.6923076923076923,9.216852568158364,6,95.0,0.48762058260982444,6,95.0
180.0,7,101.0,2.58974358974359,9.681494517189954,7,101.0,0.5432748793963814,7,101.0
185.0,11,142.0,3.641025641025641,8.388903111238193,10,141.0,0.41953525330350305,10,141.0
190.0,13,202.0,5.45945945945946,7.783920969590864,12,196.0,0.4552530869256985,12,196.0
195.0,2,21.0,0.5384615384615384,8.126321617830731,2,86.0,0.47495245006001163,2,86.0
200.0,5,18.0,0.4864864864864865,8.795521682368621,3,65.0,0.510814107146305,3,65.0
205.0,1,2.0,0.05405405405405406,8.923574258268703,1,69.0,0.5293358336333045,1,69.0
210.0,7,22.0,0.5641025641025641,9.352094494596276,7,85.0,0.474769764946389,7,85.0
215.0,9,64.0,1.641025641025641,9.614348587500798,9,127.0,0.49802996362402263,9,127.0
220.0,11,111.0,3.0,7.874306021513694,11,174.0,0.3471731758686614,11,174.0
225.0,14,177.0,4.783783783783784,7.653145327355412,14,240.0,0.29418456754441574,14,240.0
230.0,15,251.0,6.783783783783784,7.428757523420567,15,314.0,0.29732391227436494,15,314.0
235.0,17,329.0,9.676470588235293,5.750969919882983,17,392.0,0.22304857709049294,17,392.0
240.0,19,424.0,11.777777777777779,5.710997452217597,19,487.0,0.19618936820742605,19,487.0
245.0,20,521.0,14.08108108108108,5.304062179565912,20,584.0,0.1689095370229808,20,584.0
250.0,23,629.0,16.55263157894737,5.086499104321516,23,692.0,0.1946189612077911,23,692.0
255.0,25,746.0,19.128205128205128,4.700873057980212,25,809.0,0.21037989406069257,25,809.0
260.0,14,385.0,9.625,4.956677097022708,14,606.0,0.2845579837124531,14,606.0
265.0,6,35.0,0.8333333333333334,7.140645165647979,5,430.0,0.41249107316593286,5,430.0
270.0,7,15.0,0.3333333333333333,7.350270273396004,7,438.0,0.33664405893458516,7,438.0
275.0,12,41.0,0.9318181818181818,7.034279806273182,12,484.0,0.2541061581076547,12,484.0
280.0,15,105.0,2.142857142857143,7.659459670442018,15,550.0,0.2725456367861258,15,550.0
285.0,19,197.0,4.104166666666667,7.489564826129279,19,642.0,0.2676707480956213,19,642.0
290.0,21,297.0,6.75,6.650149227207309,21,742.0,0.3044064314688885,21,742.0
295.0,14,193.0,4.288888888888889,5.942593808640636,14,600.0,0.3145468062352543,14,600.0
300.0,7,41.0,0.9534883720930233,6.610675101494213,6,374.0,0.3457570448308458,6,374.0
305.0,5,9.0,0.21428571428571427,6.241562670589507,5,392.0,0.30394233340649696,5,392.0
310.0,13,49.0,1.065217391304348,6.989136067762949,13,430.0,0.31705882089281023,13,430.0
315.0,18,132.0,2.693877551020408,7.2029833309340185,17,511.0,0.28998469483453754,17,511.0
320.0,21,226.0,4.708333333333333,6.695929334535681,21,607.0,0.2918848765997329,21,607.0
325.0,22,334.0,6.816326530612245,6.835193996079296,22,715.0,0.290238289055404,22,715.0
330.0,23,445.0,10.113636363636363,4.869618693416474,23,826.0,0.212284305139042,23,826.0
335.0,29,578.0,12.844444444444445,4.220787774177072,29,959.0,0.1599792236456553,29,959.0
340.0,29,723.0,15.382978723404255,4.4346194832001995,29,1104.0,0.16662684820769824,29,1104.0
345.0,31,876.0,17.877551020408163,4.672595434085869,31,1257.0,0.2075780054269861,31,1257.0
350.0,33,1034.0,21.541666666666668,3.947820990384232,33,1415.0,0.16899683685890127,33,1415.0
355.0,34,1203.0,23.58823529411765,3.700216503194364,34,1584.0,0.15909654452161778,34,1584.0
360.0,37,1385.0,26.634615384615383,3.105323680192718,37,1766.0,0.14240458909281423,37,1766.0
365.0,40,1581.0,28.745454545454546,3.309599290688009,40,1962.0,0.15650471254232343,40,1962.0
370.0,43,1784.0,31.857142857142858,2.547282794875236,43,2165.0,0.12638156502396794,43,2165.0
375.0,46,2010.0,34.6551724137931,2.191613645907131,46,2391.0,0.10495900963097957,46,2391.0
380.0,48,2244.0,37.4,2.5346902096753348,48,2625.0,0.10124040985411137,48,2625.0
385.0,48,2484.0,39.42857142857143,2.9356650687395507,48,2865.0,0.10287742494428552,48,2865.0
